name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
125,"-70.819116199675,-33.12238500565","-70.819134799,-33.1226463475","-70.8191083884,-33.1226467332","-70.8190976004,-33.1221236638","-70.8191240109,-33.1221232781",180.98959914853677,0.0024598917552671167
126,"-70.819052771475,-33.122385931924995","-70.8190605829,-33.1221242044","-70.8190713706,-33.1226472738","-70.81904496,-33.1226476595","-70.8190341724,-33.12212459",180.98955629898217,0.0024598916324059567
127,"-70.819105318825,-33.121857428425","-70.8191239179,-33.1221187703","-70.8190975075,-33.122119156","-70.8190867198,-33.1215960865","-70.8191131301,-33.1215957009",180.98957729491121,0.002459887809871641
128,"-70.81904189095,-33.121858354625004","-70.8190497024,-33.1215966271","-70.8190604899,-33.1221196965","-70.8190340794,-33.1221200822","-70.8190232921,-33.1215970127",180.98953934423486,0.0024598924389872927
129,"-70.819094438225,-33.1213298511","-70.8191130371,-33.121591193","-70.8190866268,-33.1215915787","-70.8190758394,-33.1210685092","-70.8191022496,-33.1210681235",180.9895558964611,0.0024598933680653043
130,"-70.81903101075,-33.121330777349996","-70.8190388223,-33.1210690498","-70.8190496095,-33.1215921193","-70.8190231991,-33.1215925049","-70.8190124121,-33.1210694354",180.98951748366096,0.0024598978046933926
131,"-70.81925449595,-33.122937777124996","-70.8192730959,-33.1231991189","-70.8192466851,-33.1231995047","-70.8192358961,-33.1226764353","-70.8192623067,-33.1226760496",180.989689383083,0.0024598903397049354
132,"-70.819191067325,-33.1229387035","-70.8191988783,-33.122676976","-70.8192096671,-33.1232000453","-70.8191832563,-33.123200431","-70.8191724676,-33.1226773617",180.98965129514463,0.0024598948724920675
133,"-70.819138520175,-33.123467206899996","-70.81915712,-33.1237285487","-70.819130709,-33.1237289344","-70.8191199204,-33.1232058651","-70.8191463313,-33.1232054794",180.98964208981954,0.0024598986941475175
134,"-70.81907509115,-33.1234681332","-70.8190829024,-33.1232064057","-70.8190936908,-33.123729475","-70.8190672798,-33.1237298607","-70.8190564916,-33.1232067914",180.98960414625827,0.00245989401322672
135,"-70.81898934322501,-33.122386858125","-70.8190079422,-33.1226482","-70.8189815316,-33.1226485857","-70.8189707443,-33.1221255162","-70.8189971548,-33.1221251306",180.9895347193306,0.002459891606476276
136,"-70.818925915,-33.122387784325","-70.8189337268,-33.1221260568","-70.8189445138,-33.1226491262","-70.8189181031,-33.1226495119","-70.8189073163,-33.1221264424",180.98948761458516,0.0024598962362180187
137,"-70.818978463125,-33.12185928085","-70.8189970619,-33.1221206228","-70.8189706514,-33.1221210084","-70.8189598644,-33.1215979389","-70.8189862748,-33.1215975533",180.98951285873483,0.002459896972530966
