name,point,polyP1,polyP2,polyP3,polyP4,yaw,ancho
587,"-70.83110121105,-33.114521392175","-70.831119843,-33.1147827314","-70.8310934349,-33.1147831195","-70.8310825792,-33.114260053","-70.8311089871,-33.1142596648",180.99590721806103,0.0024598792457019803
588,"-70.83103778892499,-33.114522324350006","-70.8310455652,-33.114260597","-70.8310564207,-33.1147836636","-70.8310300126,-33.1147840517","-70.8310191572,-33.1142609851",180.99586890236907,0.002459883778175757
589,"-70.83111272195,-33.1150760133","-70.8311313542,-33.1153373525","-70.8311049459,-33.1153377406","-70.8310940898,-33.1148146741","-70.8311204979,-33.114814286",180.99593742591014,0.002459882245955172
590,"-70.8310492994,-33.115076945474996","-70.8310570756,-33.1148152181","-70.8310679314,-33.1153382847","-70.8310415231,-33.1153386728","-70.8310306675,-33.1148156063",180.99588584346884,0.0024598823174031897
591,"-70.83125821349999,-33.1157143392","-70.8312768464,-33.1159756783","-70.8312504379,-33.1159760665","-70.8312395807,-33.1154530001","-70.831265989,-33.1154526119",180.99603156560582,0.002459883194990454
592,"-70.8311947905,-33.1157152715","-70.8312025662,-33.1154535442","-70.8312134232,-33.1159766106","-70.8311870147,-33.1159769988","-70.8311761579,-33.1154539324",180.99598900182917,0.0024598831682351874
593,"-70.83097436675001,-33.11452325645","-70.8309929984,-33.1147845957","-70.8309665902,-33.1147849838","-70.8309557352,-33.1142619172","-70.8309821432,-33.1142615291",180.99584277550676,0.002459888408161428
594,"-70.83091094459999,-33.11452418855","-70.8309187212,-33.1142624612","-70.830929576,-33.1147855278","-70.8309031679,-33.1147859159","-70.8308923133,-33.1142628493",180.99580021868144,0.0024598790705288916
595,"-70.83098587685,-33.115077877625005","-70.8310045087,-33.1153392168","-70.8309781004,-33.115339605","-70.8309672451,-33.1148165384","-70.8309936532,-33.1148161503",180.9958642985543,0.0024598822913073234
596,"-70.8309224543,-33.11507880975","-70.8309302309,-33.1148170824","-70.8309410859,-33.115340149","-70.8309146777,-33.1153405371","-70.8309038227,-33.1148174705",180.9958214078019,0.002459882167695774
597,"-70.8311313675,-33.115716203725","-70.83115,-33.1159775429","-70.8311235915,-33.115977931","-70.8311127351,-33.1154548646","-70.8311391434,-33.1154544764",180.99595797481118,0.0024598830439308463
598,"-70.8310679445,-33.115717135924996","-70.8310757206,-33.1154554086","-70.8310865768,-33.1159784751","-70.8310601683,-33.1159788632","-70.8310493123,-33.1154557968",180.99591541148095,0.002459883019149466
599,"-70.830859031725,-33.11507974185","-70.8308776632,-33.1153410811","-70.8308512549,-33.1153414692","-70.8308404003,-33.1148184026","-70.8308668085,-33.1148180145",180.99579528038075,0.0024598867976514077
600,"-70.830795609175,-33.11508067385","-70.8308033861,-33.1148189465","-70.8308142404,-33.1153420131","-70.8307878322,-33.1153424012","-70.830776978,-33.1148193346",180.99575272455368,0.0024598774594253975
601,"-70.831004521475,-33.1157180681","-70.8310231536,-33.1159794073","-70.8309967451,-33.1159797954","-70.8309858894,-33.1154567289","-70.8310122978,-33.1154563408",180.9958889577134,0.002459887551551853
602,"-70.83094109845001,-33.115719000225","-70.8309488749,-33.1154572729","-70.8309597304,-33.1159803394","-70.8309333219,-33.1159807276","-70.8309224666,-33.115457661",180.99585111236124,0.0024598829662949534
603,"-70.83073218659999,-33.115081605875","-70.8307508177,-33.1153429452","-70.8307244094,-33.1153433332","-70.8307135556,-33.1148202666","-70.8307399637,-33.1148198785",180.99572627059874,0.002459881991202277
604,"-70.830668764,-33.115082537875","-70.8306765413,-33.1148208105","-70.8306873949,-33.1153438772","-70.8306609866,-33.1153442652","-70.8306501332,-33.1148211986",180.99568370796584,0.0024598819657724166
605,"-70.83087767545,-33.115719932350004","-70.8308963072,-33.1159812716","-70.8308698987,-33.1159816597","-70.8308590438,-33.1154585931","-70.8308854521,-33.115458205",180.99582008512502,0.0024598828433097745
606,"-70.830814252425,-33.115720864400004","-70.8308220293,-33.1154591371","-70.830832884,-33.1159822036","-70.8308064755,-33.1159825917","-70.8307956209,-33.1154595252",180.99578228628735,0.002459887472619047
607,"-70.830605341475,-33.115083469824995","-70.8306239722,-33.1153448091","-70.8305975639,-33.1153451972","-70.8305867108,-33.1148221305","-70.830613119,-33.1148217425",180.99565757857118,0.002459886595766919
608,"-70.83054191887501,-33.11508440175","-70.8305496966,-33.1148226744","-70.8305605494,-33.1153457411","-70.8305341411,-33.1153461291","-70.8305232884,-33.1148230624",180.99561469137535,0.002459886472144444
